ccode,Name,aName,startDate,endDate,Capital,lat,lng
775,Myanmar,NA,2005,2016,Pyinmana,19.7413519,96.2004383
780,Sri Lanka,NA,1800,2016,Colombo,6.9270786,79.861243
781,Maldive Islands,NA,1800,2016,Male,4.1754959,73.5093474
790,Nepal,NA,1800,2016,Kathmandu,27.7172453,85.3239605
800,Thailand,NA,1800,2016,Bangkok,13.7563309,100.5017651
811,Cambodia,NA,1800,2016,Phnom Penh,11.5448729,104.8921668
812,Laos,NA,1800,2016,Vientiane,17.9757058,102.6331035
816,Vietnam,NA,1800,2016,Hanoi,21.0277644,105.8341598
817,Republic of Vietnam,NA,1800,2016,Saigon,10.8230989,106.6296638
820,Malaysia,NA,1800,2016,Kuala Lumpur,3.139003,101.686855
830,Singapore,NA,1800,2016,Singapore,1.352083,103.819836
835,Brunei,NA,1800,2016,Bandar Seri Begawan,4.903052199999999,114.939821
840,Philippines,NA,1948,1976,Quezon City,14.6760413,121.0437003
840,Philippines,NA,1976,2016,Manila,14.5995124,120.9842195
850,Indonesia,NA,1800,2016,Jakarta,-6.17511,106.8650395
860,East Timor,NA,1800,2016,Dili,-8.5568557,125.5603143
900,Australia,NA,1901,1927,Melbourne,-37.8136276,144.9630576
900,Australia,NA,1927,2016,Canberra,-35.2809368,149.1300092
910,Papua New Guinea,NA,1800,2016,Port Moresby,-9.4780123,147.1506542
920,New Zealand,NA,1840,1841,Russell,-35.2623103,174.1223544
920,New Zealand,NA,1841,1865,Auckland,-36.8484597,174.7633315
920,New Zealand,NA,1865,2016,Wellington,-41.2864603,174.776236
935,Vanuatu,NA,1800,2016,Port Vila,-17.7332512,168.3273245
940,Solomon Islands,NA,1800,2016,Honiara,-9.4456381,159.9728999
946,Kiribati,NA,1800,2016,South Tarawa,1.433333,173
947,Tuvalu,NA,1800,2016,Funafuti,-8.5211471,179.1961926
950,Fiji,NA,1800,2016,Suva,-18.1248086,178.4500789
955,Tonga,NA,1800,2016,Nuku'alofa,-21.1393418,-175.204947
970,Nauru,NA,1800,2016,Yaren,-0.5466856999999999,166.9210913
983,Marshall Islands,NA,1800,2016,Majuro,7.1164214,171.1857736
986,Palau,NA,1800,2016,Koror,7.3410628000000004,134.4771596
987,Federated States of Micronesia,NA,1800,2016,Palikir,6.9147118,158.1610274
990,Samoa,NA,1800,2016,Apia,-13.8506958,-171.7513551
